"","workerid","proliferate.condition","first_response_value","item","item_number","item_type","length","response","sentence","verb_id","sentence_id","trial_sequence_total","verb","wh_type","wrong_attempts","error"
"391",4660,"Experiment Group",NA,3,"","","short",1,"经理想知道厨师为什么说服务员接待了乞丐。",1,103011,59,"说","adj",NA,NA
"393",4660,"Experiment Group",NA,21,"","","short",1,"省长想知道药剂师为什么希望小报记者采访了税务员。",3,121031,61,"希望","adj",NA,NA
"395",4660,"Experiment Group",NA,15,"","","long",0.01,"主持人想知道学者写下来政府官员为什么批评了总统候选人。",14,115142,63,"写","adj",NA,NA
"396",4660,"Experiment Group",NA,24,"","","long",0.97,"仓库管理员想知道采购员感觉保险代理人为什么挖苦了模特。",12,124122,64,"感觉","adj",NA,NA
"401",4546,"Experiment Group",NA,22,"","","short",0.01,"顾问想知道谁希望生物学家嘲讽了哲学家。",3,222031,3,"希望","arg",NA,NA
"403",4546,"Experiment Group",NA,2,"","","long",0.02,"法官想知道律师想警察审问了谁。",5,202052,5,"想","arg",NA,NA
"405",4546,"Experiment Group",NA,32,"","","short",0.18,"助手想知道谁猜老师出卖了水手。",9,232091,7,"猜","arg",NA,NA
"406",4546,"Experiment Group",NA,6,"","","long",0.13,"检察官想知道教练员认为音乐家开除了谁。",13,206132,8,"认为","arg",NA,NA
"408",4546,"Experiment Group",NA,10,"","","long",0.11,"导游想知道外国人希望保安为什么袭击了商贩。",3,110032,10,"希望","adj",NA,NA
"411",4546,"Experiment Group",NA,5,"","","long",0.06,"市长想知道议员猜艺术家为什么联系了毒枭。",9,105092,13,"猜","adj",NA,NA
"413",4546,"Experiment Group",NA,7,"","","long",0.04,"村长想知道农民怕电工为什么无视了领导。",6,107062,15,"怕","adj",NA,NA
"415",4546,"Experiment Group",NA,15,"","","short",0.95,"主持人想知道学者为什么认为政府官员批评了总统候选人。",13,115131,17,"认为","adj",NA,NA
"417",4546,"Experiment Group",NA,11,"","","long",0.02,"政客想知道医生害怕护士推倒了谁。",11,211112,19,"害怕","arg",NA,NA
"419",4546,"Experiment Group",NA,21,"","","long",0.01,"省长想知道药剂师认为小报记者为什么采访了税务员。",13,121132,21,"认为","adj",NA,NA
"420",4546,"Experiment Group",NA,8,"","","short",0.03,"侦探想知道谁说明飞行员羞辱了卡车司机。",4,208041,22,"说明","arg",NA,NA
"422",4546,"Experiment Group",NA,17,"","","long",0.02,"会计想知道演员喜欢编辑为什么邀请了神父。",7,117072,24,"喜欢","adj",NA,NA
"424",4546,"Experiment Group",NA,20,"","","long",0.01,"售货员想知道作曲家想摄影师为什么指责了心理医生。",5,120052,26,"想","adj",NA,NA
"427",4546,"Experiment Group",NA,9,"","","long",0.04,"将军想知道间谍说明士兵跟踪了谁。",4,209042,29,"说明","arg",NA,NA
"430",4546,"Experiment Group",NA,30,"","","short",0.03,"舞蹈老师想知道谁害怕歌手赞美了剧作家。",11,230111,32,"害怕","arg",NA,NA
"432",4546,"Experiment Group",NA,4,"","","short",0.57,"教授想知道谁认为秘书批评了运动员。",13,204131,34,"认为","arg",NA,NA
"433",4546,"Experiment Group",NA,13,"","","long",0.03,"服务员想知道售票员希望演说家欺骗了谁。",3,213032,35,"希望","arg",NA,NA
"435",4546,"Experiment Group",NA,3,"","","long",0.02,"经理想知道厨师害怕服务员为什么接待了乞丐。",11,103112,37,"害怕","adj",NA,NA
"436",4546,"Experiment Group",NA,26,"","","short",0.15,"制片人想知道谁怕化妆师监视了调酒师。",6,226061,38,"怕","arg",NA,NA
"438",4546,"Experiment Group",NA,12,"","","long",0.03,"包工头想知道和尚喜欢播音员打伤了谁。",7,212072,40,"喜欢","arg",NA,NA
"440",4546,"Experiment Group",NA,28,"","","short",0.58,"丞相想知道皇上为什么怕将军威胁了大臣。",6,128061,42,"怕","adj",NA,NA
"441",4546,"Experiment Group",NA,16,"","","short",0.03,"大学生想知道谁想音乐老师夸赞了歌手。",5,216051,43,"想","arg",NA,NA
"445",4546,"Experiment Group",NA,1,"","","short",0.03,"老师想知道学生为什么说明修理工打了快递员。",4,101041,47,"说明","adj",NA,NA
"447",4546,"Experiment Group",NA,19,"","","short",0.03,"经理想知道道士为什么喜欢和尚夸奖了乞丐。",7,119071,49,"喜欢","adj",NA,NA
"450",4546,"Experiment Group",NA,18,"","","long",0.54,"船长想知道建筑师怕飞行员责备了谁。",6,218062,52,"怕","arg",NA,NA
"452",4546,"Experiment Group",NA,24,"","","short",0.11,"仓库管理员想知道采购员为什么害怕保险代理人挖苦了模特。",11,124111,54,"害怕","adj",NA,NA
"453",4546,"Experiment Group",NA,14,"","","long",0.62,"英语老师想知道工程师猜中学生举报了谁。",9,214092,55,"猜","arg",NA,NA
"455",4546,"Experiment Group",NA,29,"","","short",0.15,"编辑想知道法务顾问为什么想杂技演员抚养了小女孩。",5,129051,57,"想","adj",NA,NA
"456",4546,"Experiment Group",NA,31,"","","short",0.75,"心理学家想知道大学生为什么希望保姆讨好了理发师。",3,131031,58,"希望","adj",NA,NA
"458",4546,"Experiment Group",NA,25,"","","short",0.73,"美容师想知道房东为什么猜营养师吓唬了快餐店员。",9,125091,60,"猜","adj",NA,NA
"459",4546,"Experiment Group",NA,23,"","","long",0.05,"园丁想知道水管工说明焊工为什么训斥了清洁工。",4,123042,61,"说明","adj",NA,NA
"461",4546,"Experiment Group",NA,27,"","","short",0.2,"法医想知道谁喜欢罪犯谋害了程序员。",7,227071,63,"喜欢","arg",NA,NA
"465",4489,"Experiment Group",NA,14,"","","short",0,"英语老师想知道工程师为什么喜欢中学生举报了店员。",7,114071,1,"喜欢","adj",NA,NA
"467",4489,"Experiment Group",NA,18,"","","short",0,"船长想知道谁想飞行员责备了经济学家。",5,218051,3,"想","arg",NA,NA
"468",4489,"Experiment Group",NA,4,"","","short",0,"教授想知道工程师为什么想秘书批评了运动员。",5,104051,4,"想","adj",NA,NA
"470",4489,"Experiment Group",NA,25,"","","long",0.45,"美容师想知道房东写下来营养师吓唬了谁。",14,225142,6,"写","arg",NA,NA
"473",4489,"Experiment Group",NA,6,"","","long",0,"检察官想知道教练员怕音乐家开除了谁。",6,206062,9,"怕","arg",NA,NA
"475",4489,"Experiment Group",NA,5,"","","long",0,"市长想知道议员觉得艺术家为什么联系了毒枭。",2,105022,11,"觉得","adj",NA,NA
"476",4489,"Experiment Group",NA,16,"","","short",1,"大学生想知道记者为什么觉得音乐老师夸赞了歌手。",2,116021,12,"觉得","adj",NA,NA
"479",4489,"Experiment Group",NA,28,"","","short",0,"丞相想知道谁怕将军威胁了大臣。",6,228061,15,"怕","arg",NA,NA
"480",4489,"Experiment Group",NA,13,"","","short",0,"服务员想知道谁猜演说家欺骗了建筑工人。",9,213091,16,"猜","arg",NA,NA
"484",4489,"Experiment Group",NA,7,"","","long",1,"村长想知道农民说电工无视了谁。",1,207012,20,"说","arg",NA,NA
"486",4489,"Experiment Group",NA,8,"","","short",0.02,"侦探想知道谁喜欢飞行员羞辱了卡车司机。",7,208071,22,"喜欢","arg",NA,NA
"487",4489,"Experiment Group",NA,22,"","","long",0,"顾问想知道外交官想生物学家为什么嘲讽了哲学家。",5,122052,23,"想","adj",NA,NA
"490",4489,"Experiment Group",NA,30,"","","long",0,"舞蹈老师想知道实习生说歌手为什么赞美了剧作家。",1,130012,26,"说","adj",NA,NA
"495",4489,"Experiment Group",NA,3,"","","long",0,"经理想知道厨师写下来服务员为什么接待了乞丐。",14,103142,31,"写","adj",NA,NA
"496",4489,"Experiment Group",NA,32,"","","short",0,"助手想知道军官为什么猜老师出卖了水手。",9,132091,32,"猜","adj",NA,NA
"498",4489,"Experiment Group",NA,29,"","","long",0,"编辑想知道法务顾问怕杂技演员为什么抚养了小女孩。",6,129062,34,"怕","adj",NA,NA
"501",4489,"Experiment Group",NA,2,"","","long",0,"法官想知道律师猜警察审问了谁。",9,202092,37,"猜","arg",NA,NA
"503",4489,"Experiment Group",NA,20,"","","short",1,"售货员想知道作曲家为什么说摄影师指责了心理医生。",1,120011,39,"说","adj",NA,NA
"504",4489,"Experiment Group",NA,17,"","","short",0,"会计想知道谁觉得编辑邀请了神父。",2,217021,40,"觉得","arg",NA,NA
"506",4489,"Experiment Group",NA,10,"","","long",1,"导游想知道外国人觉得保安袭击了谁。",2,210022,42,"觉得","arg",NA,NA
"507",4489,"Experiment Group",NA,11,"","","long",0,"政客想知道医生喜欢护士推倒了谁。",7,211072,43,"喜欢","arg",NA,NA
"512",4489,"Experiment Group",NA,9,"","","long",0,"将军想知道间谍害怕士兵为什么跟踪了总统。",11,109112,48,"害怕","adj",NA,NA
"514",4489,"Experiment Group",NA,27,"","","long",0,"法医想知道业务员喜欢罪犯为什么谋害了程序员。",7,127072,50,"喜欢","adj",NA,NA
"516",4489,"Experiment Group",NA,1,"","","long",0,"老师想知道学生想修理工打了谁。",5,201052,52,"想","arg",NA,NA
"517",4489,"Experiment Group",NA,23,"","","short",1,"园丁想知道谁说焊工训斥了清洁工。",1,223011,53,"说","arg",NA,NA
"519",4489,"Experiment Group",NA,19,"","","short",1,"经理想知道道士为什么写下来和尚夸奖了乞丐。",14,119141,55,"写","adj",NA,NA
"521",4489,"Experiment Group",NA,15,"","","short",1,"主持人想知道学者为什么害怕政府官员批评了总统候选人。",11,115111,57,"害怕","adj",NA,NA
"522",4489,"Experiment Group",NA,21,"","","long",0,"省长想知道药剂师猜小报记者为什么采访了税务员。",9,121092,58,"猜","adj",NA,NA
"524",4489,"Experiment Group",NA,12,"","","long",0,"包工头想知道和尚害怕播音员打伤了谁。",11,212112,60,"害怕","arg",NA,NA
"525",4489,"Experiment Group",NA,26,"","","short",0,"制片人想知道谁写下来化妆师监视了调酒师。",14,226141,61,"写","arg",NA,NA
"527",4489,"Experiment Group",NA,31,"","","short",0,"心理学家想知道谁害怕保姆讨好了理发师。",11,231111,63,"害怕","arg",NA,NA
"528",4489,"Experiment Group",NA,24,"","","short",0,"仓库管理员想知道采购员为什么怕保险代理人挖苦了模特。",6,124061,64,"怕","adj",NA,NA
"532",4581,"Experiment Group",NA,8,"","","short",0.31,"侦探想知道谁怕飞行员羞辱了卡车司机。",6,208061,2,"怕","arg",NA,NA
"534",4581,"Experiment Group",NA,31,"","","long",0.22,"心理学家想知道大学生猜保姆讨好了谁。",9,231092,4,"猜","arg",NA,NA
"535",4581,"Experiment Group",NA,22,"","","short",0.32,"顾问想知道外交官为什么喜欢生物学家嘲讽了哲学家。",7,122071,5,"喜欢","adj",NA,NA
"538",4581,"Experiment Group",NA,18,"","","long",0.43,"船长想知道建筑师害怕飞行员责备了谁。",11,218112,8,"害怕","arg",NA,NA
"543",4581,"Experiment Group",NA,2,"","","long",0.45,"法官想知道律师记得警察审问了谁。",8,202082,13,"记得","arg",NA,NA
"544",4581,"Experiment Group",NA,15,"","","long",0.4,"主持人想知道学者记得政府官员为什么批评了总统候选人。",8,115082,14,"记得","adj",NA,NA
"546",4581,"Experiment Group",NA,12,"","","short",0.49,"包工头想知道和尚为什么猜播音员打伤了算命先生。",9,112091,16,"猜","adj",NA,NA
"548",4581,"Experiment Group",NA,23,"","","short",0.23,"园丁想知道谁猜焊工训斥了清洁工。",9,223091,18,"猜","arg",NA,NA
"549",4581,"Experiment Group",NA,13,"","","short",0.41,"服务员想知道谁记得演说家欺骗了建筑工人。",8,213081,19,"记得","arg",NA,NA
"552",4581,"Experiment Group",NA,21,"","","short",0.41,"省长想知道药剂师为什么害怕小报记者采访了税务员。",11,121111,22,"害怕","adj",NA,NA
"553",4581,"Experiment Group",NA,1,"","","short",0.2,"老师想知道谁想修理工打了快递员。",5,201051,23,"想","arg",NA,NA
"555",4581,"Experiment Group",NA,14,"","","long",0.97,"英语老师想知道工程师假装中学生为什么举报了店员。",10,114102,25,"假装","adj",NA,NA
"557",4581,"Experiment Group",NA,28,"","","long",0.4,"丞相想知道皇上猜将军为什么威胁了大臣。",9,128092,27,"猜","adj",NA,NA
"558",4581,"Experiment Group",NA,24,"","","short",0.49,"仓库管理员想知道采购员为什么假装保险代理人挖苦了模特。",10,124101,28,"假装","adj",NA,NA
"560",4581,"Experiment Group",NA,32,"","","long",0.36,"助手想知道军官喜欢老师出卖了谁。",7,232072,30,"喜欢","arg",NA,NA
"562",4581,"Experiment Group",NA,30,"","","short",0.5,"舞蹈老师想知道实习生为什么说歌手赞美了剧作家。",1,130011,32,"说","adj",NA,NA
"566",4581,"Experiment Group",NA,29,"","","long",0.23,"编辑想知道法务顾问想杂技演员为什么抚养了小女孩。",5,129052,36,"想","adj",NA,NA
"568",4581,"Experiment Group",NA,27,"","","short",0.67,"法医想知道谁说罪犯谋害了程序员。",1,227011,38,"说","arg",NA,NA
"569",4581,"Experiment Group",NA,16,"","","long",0.71,"大学生想知道记者说音乐老师夸赞了谁。",1,216012,39,"说","arg",NA,NA
"571",4581,"Experiment Group",NA,11,"","","short",0.31,"政客想知道医生为什么想护士推倒了男孩。",5,111051,41,"想","adj",NA,NA
"572",4581,"Experiment Group",NA,19,"","","long",0.24,"经理想知道道士想和尚夸奖了谁。",5,219052,42,"想","arg",NA,NA
"576",4581,"Experiment Group",NA,25,"","","long",0.3,"美容师想知道房东怕营养师为什么吓唬了快餐店员。",6,125062,46,"怕","adj",NA,NA
"577",4581,"Experiment Group",NA,17,"","","short",0.48,"会计想知道谁假装编辑邀请了神父。",10,217101,47,"假装","arg",NA,NA
"579",4581,"Experiment Group",NA,20,"","","short",0.5,"售货员想知道作曲家为什么记得摄影师指责了心理医生。",8,120081,49,"记得","adj",NA,NA
"580",4581,"Experiment Group",NA,3,"","","long",0.33,"经理想知道厨师怕服务员接待了谁。",6,203062,50,"怕","arg",NA,NA
"582",4581,"Experiment Group",NA,5,"","","long",0.42,"市长想知道议员害怕艺术家为什么联系了毒枭。",11,105112,52,"害怕","adj",NA,NA
"583",4581,"Experiment Group",NA,4,"","","long",0.54,"教授想知道工程师假装秘书批评了谁。",10,204102,53,"假装","arg",NA,NA
"585",4581,"Experiment Group",NA,9,"","","short",0.54,"将军想知道谁害怕士兵跟踪了总统。",11,209111,55,"害怕","arg",NA,NA
"587",4581,"Experiment Group",NA,6,"","","short",0.33,"检察官想知道谁喜欢音乐家开除了保镖。",7,206071,57,"喜欢","arg",NA,NA
"590",4581,"Experiment Group",NA,26,"","","long",0.37,"制片人想知道健身教练喜欢化妆师为什么监视了调酒师。",7,126072,60,"喜欢","adj",NA,NA
"593",4581,"Experiment Group",NA,7,"","","long",0.28,"村长想知道农民说电工为什么无视了领导。",1,107012,63,"说","adj",NA,NA
"594",4581,"Experiment Group",NA,10,"","","short",0.66,"导游想知道外国人为什么怕保安袭击了商贩。",6,110061,64,"怕","adj",NA,NA
"597",4617,"Experiment Group",NA,14,"","","short",0.08,"英语老师想知道谁记得中学生举报了店员。",8,214081,1,"记得","arg",NA,NA
"598",4617,"Experiment Group",NA,5,"","","short",0.82,"市长想知道议员为什么感觉艺术家联系了毒枭。",12,105121,2,"感觉","adj",NA,NA
"600",4617,"Experiment Group",NA,16,"","","long",0.97,"大学生想知道记者认为音乐老师夸赞了谁。",13,216132,4,"认为","arg",NA,NA
"601",4617,"Experiment Group",NA,11,"","","long",0.46,"政客想知道医生认为护士为什么推倒了男孩。",13,111132,5,"认为","adj",NA,NA
"603",4617,"Experiment Group",NA,12,"","","short",0.49,"包工头想知道和尚为什么假装播音员打伤了算命先生。",10,112101,7,"假装","adj",NA,NA
"606",4617,"Experiment Group",NA,17,"","","long",0.33,"会计想知道演员觉得编辑为什么邀请了神父。",2,117022,10,"觉得","adj",NA,NA
"607",4617,"Experiment Group",NA,18,"","","short",0.03,"船长想知道建筑师为什么觉得飞行员责备了经济学家。",2,118021,11,"觉得","adj",NA,NA
"609",4617,"Experiment Group",NA,19,"","","short",0.77,"经理想知道道士为什么说明和尚夸奖了乞丐。",4,119041,13,"说明","adj",NA,NA
"611",4617,"Experiment Group",NA,26,"","","short",0.95,"制片人想知道谁认为化妆师监视了调酒师。",13,226131,15,"认为","arg",NA,NA
"613",4617,"Experiment Group",NA,25,"","","short",0.89,"美容师想知道谁说明营养师吓唬了快餐店员。",4,225041,17,"说明","arg",NA,NA
"615",4617,"Experiment Group",NA,1,"","","long",1,"老师想知道学生觉得修理工打了谁。",2,201022,19,"觉得","arg",NA,NA
"617",4617,"Experiment Group",NA,8,"","","long",0.65,"侦探想知道售货员想飞行员羞辱了谁。",5,208052,21,"想","arg",NA,NA
"618",4617,"Experiment Group",NA,27,"","","long",0.65,"法医想知道业务员感觉罪犯谋害了谁。",12,227122,22,"感觉","arg",NA,NA
"620",4617,"Experiment Group",NA,6,"","","long",0.08,"检察官想知道教练员猜音乐家开除了谁。",9,206092,24,"猜","arg",NA,NA
"621",4617,"Experiment Group",NA,13,"","","long",0.21,"服务员想知道售票员记得演说家欺骗了谁。",8,213082,25,"记得","arg",NA,NA
